Year,Date,F-Scale EF(Scale),Injuries,Fatalities,Length (miles),Width (yards)
1973,06/15/1973,0,0,0,0.1,10
1973,06/16/1973,0,0,0,0.1,10
1973,06/16/1973,0,0,0,0.1,10
1973,06/16/1973,0,0,0,0.1,10
1973,06/16/1973,1,0,0,0.1,10
1973,06/16/1973,1,0,0,0.1,10
1973,06/16/1973,0,0,0,0.1,10
1973,06/16/1973,0,0,0,0.1,10
1973,06/16/1973,0,0,0,0.1,10
1973,06/17/1973,0,0,0,0.1,10
1973,06/17/1973,0,0,0,0.1,10
1973,06/18/1973,0,0,0,0.1,10
1973,06/18/1973,0,0,0,0.1,10
1973,06/18/1973,0,0,0,0.1,10
1973,06/18/1973,1,0,0,0.1,10
1973,07/01/1973,1,0,0,0.1,10
1973,07/23/1973,0,0,0,0.1,10
1973,07/23/1973,0,0,0,0.1,10
1973,07/27/1973,1,0,0,0.1,10
1973,07/27/1973,2,0,0,0.1,10
1973,07/29/1973,2,0,0,0.1,10
1973,08/08/1973,1,0,0,0.1,10
1973,08/08/1973,1,0,0,0.1,10
1973,08/12/1973,2,0,0,0.1,10
1973,08/14/1973,2,0,0,0.1,10
1973,08/14/1973,0,0,0,0.1,10
1973,09/04/1973,0,0,0,14.6,10
1973,09/04/1973,0,0,0,0.1,10
1973,09/30/1973,3,0,0,0.1,10
1973,10/01/1973,1,0,0,0.1,10
1973,12/04/1973,2,1,0,0.1,10
1973,12/04/1973,1,0,0,0.1,10
1973,12/04/1973,0,2,0,0.1,10
1973,12/04/1973,0,0,0,0.1,10
1973,12/04/1973,1,0,0,0.1,10
1974,03/09/1974,0,0,0,0.1,10
1974,03/29/1974,2,1,0,0.1,10
1974,03/29/1974,1,0,0,0.1,10
1974,04/01/1974,3,0,0,3.3,200
1974,04/03/1974,0,0,0,0.1,10
1974,04/03/1974,0,0,0,0.1,10
1974,04/03/1974,1,0,0,16.7,177
1974,04/03/1974,3,26,1,20.9,350
1974,04/03/1974,3,0,0,7.4,350
1974,04/03/1974,1,0,0,8.5,70
1974,04/03/1974,1,0,0,10.9,20
1974,04/03/1974,0,0,0,3.3,20
1974,04/03/1974,3,0,1,5.9,70
1974,04/03/1974,3,0,0,14.9,350
1974,04/03/1974,2,12,0,7.8,177
1974,04/03/1974,1,0,0,14.8,90
1974,04/12/1974,2,0,0,12.5,20
1974,04/13/1974,3,0,0,11,700
1974,04/13/1974,2,10,0,19.5,500
1974,04/13/1974,2,0,0,0.1,20
1974,04/13/1974,2,1,0,0.1,17
1974,04/21/1974,2,0,0,2,50
1974,04/21/1974,1,2,0,0.1,10
1974,04/21/1974,1,0,0,0.1,10
1974,05/16/1974,2,0,0,9.2,100
1974,05/30/1974,2,12,0,15.8,200
1974,05/30/1974,1,0,0,0.1,10
1974,05/30/1974,2,0,0,0.1,10
1974,05/30/1974,0,0,0,0.1,10
1974,05/30/1974,0,0,0,0.1,10
1974,06/06/1974,2,0,0,3.3,10
1974,06/08/1974,0,0,0,0.1,10
1974,06/08/1974,0,0,0,0.1,10
1974,06/08/1974,0,0,0,0.1,10
1974,06/08/1974,0,0,0,0.1,10
1974,06/09/1974,0,0,0,0.1,10
1974,06/09/1974,1,0,0,0.1,10
1974,06/14/1974,3,2,0,48.6,440
1974,06/14/1974,0,0,0,0.1,10
1974,06/19/1974,2,0,0,1,20
1974,06/19/1974,0,0,0,0.1,10
1974,06/19/1974,0,0,0,0.1,10
1974,06/19/1974,0,0,0,0.1,10
1974,06/19/1974,0,0,0,0.1,10
1974,06/19/1974,0,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,1,0,0,0.1,10
1974,06/20/1974,0,0,0,1.5,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,1,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,1,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,1,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/20/1974,0,0,0,0.1,10
1974,06/21/1974,1,0,0,0.1,10
1974,06/21/1974,1,0,0,0.1,10
1974,06/22/1974,2,0,0,0.8,100
1974,06/22/1974,0,0,0,0.1,10
1974,06/22/1974,0,0,0,0.1,10
